IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,ATK,161972,,,,,19,11,UP,1119NC021,,752248M,19,11,13,6,50,PM,07,0,0,0,0,,CASTROVILLE,0110.6,6,55,4,2,69,E,14,1,0,2,Y,SINGLE MAIN,4,1,1,AMT,160,1,,,,0,,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20622,0,M302,,1,1,1,1,M302,1,4,69,20622,,06C053,1,0,1,1,0,1,1,1,10,1,10,2,7,,6,,,,152,,2019,0,0,0,1,1,0,MONTEREY,53,,,,Y,CWR,,CAMERA-EQUIPPED TRAIN 14 STRUCK AN OCCUPIED SANITATION TRUCK AT MP 110.68, A PRIVATE RD CROSSING.  T,HE OCCUPANT OF THE VEHICLE WAS A CONFIRMED FATALITY.,,,,,,,,,,,,,,0,3.787.697,-122.304.005,1,1,Q,,,COAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,MNCW,2019156,,,,,19,10,MNCW,2019156,,,19,10,14,10,45,AM,03,0,0,0,0,,NORWALK,02. Aug,9,60,2,1,10,E,MJ30,1,0,A,Y,SINGLE MAIN TRACK,3,0.58,1,RA,1003,2,N,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7085,0,H607,M101,0,0,0,1,H607,1,3,10,21084,,09C001,0,0,0,1,0,0,0,3,48,,,3,1,,6,,,,126,,2019,0,0,0,0,0,0,FAIRFIELD,1,0,0,,N,CWR,000-000-000,PRODUCTION GANG,TRAVELING NORTH WITH 22 PIECES OF EQUIPMENT,HAD 7 SEPERATE PIECES OF EQUIPMENT MAK,E IMPACT WITH ONE ANOTHER.,,,,,,,,,,,,,,0,41.133.485,-7.342.511,1,1,A,B,Q,DANBURY BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,FEC,T12041219,19,4,BLF,20190162,19,4,FEC,T12041219,,,19,4,12,11,59,AM,13,0,0,0,0,,POMPANO BEACH,334.6,12,80,2,1,0,,,2,0,,,EAST MAIN,4,Feb 45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M599,,0,0,1,0,M599,1,4,79,15325,,12C011,0,0,0,,,,,,,,,2,3,,2,,,,365,,2019,0,0,0,0,0,0,BROWARD,11,,,,,CWR,000-000-000,BLF 604 WAS TRAVELING SOUTHBOUND ON EAST MAIN AT APPROXIMATELY 79 MPH AND NOTICED A TRESPASSER COMIN,G ACROSS THE TRACKS WITH HIS BIKE FROM THE WEST SIDE OF THE TRACKS TO THE EAST SIDE OF THE TRACKS.,LOCOMOTIVE ENGINEER SOUNDED HORN AND BELL TO WARN TRESPASSER AND PLACED TRAIN INTO EMERGENCY.  TRESP,ASSER WAS STRUCK RESULTING IN A FATALITY.  BLF COSTS WERE $15325.,,,,,,,,,,,,,26.203.612,-80.132.372,1,1,B,Q,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,FEC,X17040219,19,4,BLF,20190151,19,4,FEC,X17040219,,272531W,19,4,2,3,0,PM,07,0,0,0,0,,POMPANO BEACH,332.97,12,89,2,2,0,,,2,0,,,EAST MAIN,4,Feb 45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,M308,,0,0,0,3,M308,1,4,79,11205,,12C011,0,0,0,,,,,,,,,2,3,,2,,,,296,,2019,0,0,0,0,0,0,BROWARD,11,,,,,CWR,000-000-000,BLF 606 WAS TRAVELING SOUTHBOUND ON EAST MAIN AND NOTICED A VEHICLE FOULING HAMMONDVILLE ROAD.  LOCO,MOTIVE ENGINEER SOUNDED HORN AND BELL AND PLACED TRAIN IN EMERGENCY.  TRAIN STRUCK VEHICLE AND PASSE,NGERS IN VEHICLE WERE TRANSPORTED TO LOCAL HOSPITAL WITH MINOR INJURIES.  BLF COSTS WERE $10793.,,,,,,,,,,,,,,26.234.206,-80.125.141,1,1,B,Q,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,CSX,182304,19,4,ATK,158456,19,4,CSX,182304,,621029M,19,4,11,2,58,PM,07,0,0,0,0,,SEVILLE,0727.2,12,77,2,1,0,,P098,2,0,,,SEVILLE SIDING,4,0000.0,3,,,0,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,M302,,0,0,0,1,M302,1,4,78,15047,,12C127,0,0,0,0,0,0,0,,,,,2,3,,1,,,,46,,2019,0,0,0,0,0,0,VOLUSIA,127,,,,N,CWR,000-000-000,AMTRAK P09811 STRUCK SEMI AT PRIVATE CROSSING.,,,,,,,,,,,,,,,,29.305.552,-81.488.008,2,5,,,,SANFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9,BLF,20190352,,,,,19,9,FEC,X31090619,,272436B,19,9,6,8,59,PM,07,0,0,0,0,,WEST PALM BEACH,300.76,12,90,4,2,78,R,BLF6,1,0,2,Y,WEST MAIN,4,,1,BLF,605,1,N,,,0,,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,174475,0,M308,,1,0,1,0,M308,1,4,78,175090,,12C099,0,0,1,1,,1,,8,39,8,39,2,3,,,,,,281,,2019,0,0,0,0,1,0,PALM BEACH,99,,,,Y,CWR,000-000-000,BLF 605 TRAVELING NB ON THE WEST MAIN TRACK STRUCK A VEHICLE AT WESTWOOD RD MP 300.76.  VEHICLE WENT,AROUND LOWERED GATES THAT WERE WORKING AS INTENDED.  TRAIN STRUCK THE VEHICLE AND ENGINEER PLACED T,RAIN INTO EMERGENCY CAUSING IMPACT AND FATALITY TO DRIVER.   FEC DAMAGE:  $615.33,,,,,,,,,,,,,0,2.641.328,-80.032.105,1,1,B,Q,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,IANR,WLD0213191,,,,,19,2,IANR,WLD0213191,,,19,2,13,12,1,AM,12,0,0,0,0,,WATERLOO,147.8,19,8,4,6,7,R,XIAN,1,0,8,Y,MAIN,1,,2,IANR,458,1,Y,,,0,,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12461,3500,H525,H607,0,0,0,0,H525,2,1,7,35662,,19C013,0,0,0,1,0,1,0,10,1,10,1,1,6,,3,,,,770,,2019,0,0,0,0,0,0,BLACK HAWK,13,,,,N,OTH,000-000-000,FEBRUARY 13,2019,,,,,,,,,,,,,,,0,42.465.371,-92.314.843,2,5,,,,WATERLOO,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,BNSF,HL0119123,19,1,KJRY,1192019,19,1,BNSF,HL0119123,,,19,1,19,4,6,PM,01,0,0,0,0,,KEOKUK,177.9,19,19,2,6,0,,,,0,,,SINGLE MAIN TRACK,3,,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,M101,,0,0,0,0,M101,1,3,4,63156,,19C111,0,0,0,0,0,0,0,,,,,1,6,,1,,,,154,,2019,0,0,0,0,0,0,LEE,111,,,,,CWR,,KJRY CREW WAS SHOVING INTO YARD FROM BNSF MAIN TRACK WHEN ICE AND SHOW BUILDUP IN THE CROSSING CAUSE,D THE CARS TO DERAIL.  CARS DERAILED ON BNSF MAINLINE.,,,,,,,,,,,,,,,40.391.658,-91.379.073,2,2,P,,,HANNIBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,UP,0419HL009,,,,,19,4,UP,0419HL009,,,19,4,8,5,10,PM,01,0,0,0,0,,CHARITON,23. Jan,19,77,2,1,24,E,MDME,2,6464,1,Y,SINGLE MAIN TRACK,4,34.0,1,TILX,635869,14,Y,,,0,,2,0,0,0,0,0,0,0,0,0,46,0,13,0,0,1,0,0,0,0,279,114604,T001,,0,0,0,0,T001,1,4,24,114883,,19C117,0,0,0,1,0,0,1,3,40,,,1,6,,1,,,,193,,2019,0,0,0,0,0,0,LUCAS,117,,,,N,OTH,000-000-000,TRAIN MDMEW-08 AT MP 23.1 WENT INTO EMERGENCY.  AFTER TRAIN WAS STOPPED, IT WAS DISCOVERED THAT CAR,TILX635869 HAD ONE SET OF TRUCKS ON THE GROUND DUE TO SOFT SUBGRADE IN THE SPIRAL OF A CURVE.,,,,,,,,,,,,,,0,4.100.805,-93.301.011,1,1,Q,,,TRENTON SUB,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,BNSF,CH0419107,,,,,19,4,XCAI,INDUSTRY,,,19,4,17,3,55,PM,01,0,0,0,0,,ALBIA,294.4,19,65,2,1,4,E,XBVA,3,2080,1,Y,2320,1,,4,BN,34777,21,N,,,0,,3,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,3,0,0,7404,0,H305,,0,0,0,0,H305,4,1,4,7404,,19C135,0,0,0,1,0,1,0,3,54,3,54,1,6,,1,,,,148,,2019,0,0,0,0,0,0,MONROE,135,,,,N,OTH,000-000-000,X-BVAEDY5-13 DERAILED 3 RAILCARS WHILE SHOVING INDUSTRY TRACK 2320 DUE TO IMPROPER INSTRUCTIONS TO T,RAIN CREW. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,,0,4.109.124,-9.265.564,2,5,K,,,OTTUMWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
