IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,,,,,,,,,,,,
20,2,UP,0220HL029,,,,,20,2,UP,0220HL029,,,20,2,28,8,10,PM,01,9,4,0,0,,SMITHTON,182.2,29,33,4,1,2,E,ACXN,3,9145,1,Y,SINGLE MAIN TRACK,4,29.0,1,CEFX,11635,63,N,,,0,,3,0,0,0,0,0,0,0,0,0,84,0,35,0,0,10,0,14,0,0,262662,249791,H518,H508,0,0,0,0,H518,1,4,2,512453,,29C159,0,0,0,1,0,1,0,11,40,11,40,1,6,,1,,,,131,,2020,0,0,0,0,0,0,PETTIS,159,,,,N,CWR,000-000-000,ACXNP-27 DERAILED 24 CARS AT MP 182.2.  A COMBINATION OF EXCESSIVE DYNAMIC BRAKING AND IMPROPER TRAI,N MAKEUP CAUSED CARS TO DERAIL.,,,,,,,,,,,,,,0,38.684.113,-93.112.385,1,1,Q,,,SEDALIA SUB,,,,,,,,,,,,
20,4,CSX,189922,,,,,20,4,CSX,189922,,,20,4,28,11,0,PM,01,0,0,0,0,,WEST SPRINGFIELD,0100.0,25,43,4,1,4,R,Y201,4,0,7,Y,TRACK 620 (630),X,0000.0,2,TILX,318540,32,Y,,,0,,2,0,0,0,0,0,0,0,0,0,28,0,8,0,0,3,0,0,0,0,30717,1000,H704,,0,0,0,0,H704,2,X,4,31717,,25C013,0,0,0,1,0,1,0,8,,8,,1,1,,1,,,,289,,2020,0,0,0,0,0,0,HAMPDEN,13,0,0,,N,OTH,000-000-000,Y20128 FAILED TO ENSURE THEIR ROUTE WAS PROPERLY LINED RESULTING IN A TRACK BEING SHOVED THROUGH SWI,TCH LINED AGAINST THEIR MOVEMENT.  WHEN THEY RETURNED TO THE TRACK PREVIOUSLY SHOVED AND BEGAN TO PU,LL ON IT, THREE CARS DERAILED AFTER TRAVERSING THROUGH THE SWITCH PREVIOUSLY RAN THROUGH.,,,,,,,,,,,,,0,42.098.671,-72.620.755,2,5,,,,BERKSHIRE,,,,,,,,,,,
20,4,CLNA,4222001,,,,,20,4,CLNA,4222001,,,20,4,22,10,30,AM,13,0,0,0,0,,WASHINGTON,125.5,37,58,2,1,8,E,1192,2,1550,1,Y,WASHINGTON MAIN RUN,1,.14,1,CLNA,4012,1,,,,0,,1,0,0,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,66000,T401,,0,0,0,0,T401,1,1,8,66000,,37C013,0,0,0,1,0,1,0,3,,3,,1,3,,3,,,,828,,2020,0,0,0,0,0,0,BEAUFORT,13,,,,N,OTH,000-000-000,CLNA TRAIN 119-22 WAS TRAVELING TIMETABLE DIRECTION SOUTH OVER THE RUNYAN CREEK TRESTLE WASHINGTON,,NC.  CROSSING THE BRIDGE AT 10:30 AM, ON THE SECOND BENT,PILE 1 BALLOONED OUT AND COLLAPSED UNDER T,HE LOCOMOTIVE. THE TRAIN WAS QUICKLY AND SAFETY BROUGHT TO A STOP WITH THE THRID CAR,CLNA 46, CENTE,RED OVER THE COLLAPSED BENT. THE TRAIN CREW IMMEDIATELY SECURED THEIR EQUIPMENT AND WALKED OF THE BR,IDGE TO SOLID GROUND. UPON FURTHER INSPECTION, IT WAS FOUND THAT PILES ON THE SAME BENT HAD PARTIALL,Y COLLAPSED AFTER THE INITAL INCIDENT. CREW SHOWED NO SIGNS OR SYMPTONS OF ALCOHOL OR DRUG USE.  THE,RE WAS NO DAMAGE TO ANY EQUIPMENT IN THE CONSIST. THE LOCOMOTIVE WAS NOT DAMAGED AND THNERE WAS NO F,UEL SPILLAGE OR LEAKAGE. THER WAS NO HAZMAT CARS IN THE CONSIST. TRAIN WAS BUTT WITH 8 LOADS ON THE,HEAD FOLLOWED BY 17 EMPTIES.,,,,,,,0,35.536.423,-77.036.902,2,3,L,,,PLYMOUTH SUBDIVISION,,,,,,
20,2,ATK,163105,,,,,20,2,NS,ZZZZZZZZZZ,,,20,2,13,8,13,PM,09,0,0,0,0,,LINWOOD,0327.0,37,54,4,2,79,E,79,2,0,2,Y,MAIN,4,,1,AMT,136,1,,,,0,,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11116,0,M404,,0,0,1,0,M404,1,4,79,68108,,37C057,0,0,0,1,0,1,1,3,13,3,13,1,3,,6,,,,338,,2020,0,0,0,0,0,0,DAVIDSON,57,,,,Y,CWR,,TREE STRIKE:  TRAIN 79 WAS DELAYED 3 HOURS AND 42 MINUTES AFTER STRIKING A TREE CAUSING DAMAGE TO TH,E PLOW ON E/136.  NS MECHANICAL RESPONDED TO THE LOCATION AND REPORTED THAT THE PLOW HAD TO BE REMOV,ED BECAUSE IT WAS BENT UNDER THE ENGINE.  AS A RESULT NS FREIGHT ENGINE 6954 WAS ADDED AT THE LOCATI,ON.  THERE WERE NO INJURIES TO REPORT.,,,,,,,,,,,,0,35.720.135,-80.375.221,1,1,Q,,,DANVILLE DISTRICT,,,,,,,,,,,,
20,3,CSX,188911,,,,,20,3,CSX,188911,,,20,3,5,7,21,PM,12,1,0,0,0,,ROCKY MOUNT,0121.0,37,54,4,3,2,E,Y290,1,0,7,Y,A25,1,0000.0,2,ACFX,67913,1,Y,,,0,,1,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,17547,0,H020,,0,0,0,0,H020,2,1,3,18733,,37C065,0,0,0,1,0,0,0,3,51,,,1,3,,1,,,,249,,2020,0,0,0,0,0,0,EDGECOMBE,65,0,0,,N,OTH,000-000-000,Y29005 WAS SHOVING A CUT OF CARS INTO TRACK A25 WHEN THE CARS IN A23 ROLLED OUT AND SIDESWIPED THE C,UT BEING SHOVED. UPON FURTHER INVESTIGATION IT WAS DISCOVERED THAT THE CUT OF CARS ON THE NORTH END,OF A23 ONLY HAD 2 HANDBRAKES SECURING THE 7 CARS.,,,,,,,,,,,,,0,35.918.853,-77.804.447,2,5,,,,SOUTH END,,,,,,,,,,,,
20,4,UP,0420ME024,,,,,20,4,UP,0420ME024,,,20,4,17,12,35,PM,12,0,0,0,0,,NORTH PLATTE,286.98,31,34,2,2,4,E,UP27,3,0,8,Y,YARD 008,X,,2,UP,2724,1,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,H403,,0,0,0,0,H403,2,X,5,11000,,31C111,0,0,0,1,0,0,0,5,35,,,1,6,,1,,,,188,,2020,0,0,0,0,0,0,LINCOLN,111,0,0,,N,OTH,000-000-000,UP2724 STRUCK THE FRONT OF THE UP6952 ON THE MAKEUP LEAD.  EMPLOYEE DRIVING FROM 2724 THOUGHT HE SAW,HAND SIGNS TO MOVE EAST AND MADE CONTACT WITH THE 6952.  NO DERAILMENT OR TRACK DAMAGE.,,,,,,,,,,,,,,0,4.115.145,-100.812.906,2,5,,,,NORTH PLATTE TERMINA,,,,,,,,,,,,
20,3,UP,0320GP029,,,,,20,3,UP,0320GP029,,,20,3,28,7,40,AM,09,0,0,0,0,,SIDNEY,405.35,31,32,2,6,0,E,,,162,6,N,MAIN LINE 2,2,,3,UP,925122,1,Y,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,8525,0,M105,,0,0,0,0,M105,3,2,20,14383,,31C033,0,0,0,0,0,0,0,,,,,3,6,,1,,,,410,,2020,0,0,0,0,0,0,CHEYENNE,33,,,,N,OTH,000-000-000,26 LOADED TIE CARS IN TRACK 805 JUST EAST OF CEMETARY CROSSING ROLLED EAST APPROXIMATELY 700 FEET IN,TO 3 MOW CARS SITTING AT EAST END OF TRACK 805, PUSHING ONE CAR,GREX3660 THROUGH THE DERAIL PROTECT,ING MAIN TRACK NUMBER 2 AND ONTO THE GROUND.  THE CORNER OF ONE PLATFORM KICKED SLIGHTLY NORTH AND I,NTO FOUL OF MAIN TRACK 2.  WEATHER WAS BLIZZARD SNOW STORM AND EXTREMELY HIGH WINDS WITH GUSTS OF OV,ER 40 MPH.,,,,,,,,,,,0,41.147.505,-102.935.061,2,5,,,,SIDNEY SUB,,,,,,,,,,
20,3,UP,0320GP029,,,,,20,3,UP,0320GP029,,,20,3,28,7,40,AM,09,0,0,0,0,,SIDNEY,405.35,31,32,2,6,20,E,,3,3267,6,N,MAIN LINE 2,2,,3,HZGX,3384,4,N,,,0,,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,500,5358,M105,,0,0,0,0,M105,3,2,20,14383,,31C033,0,0,0,0,0,0,0,,,,,1,6,,1,,,,410,,2020,0,0,0,0,0,0,CHEYENNE,33,,,,N,OTH,000-000-000,26 LOADED TIE CARS IN TRACK 805 JUST EAST OF CEMETARY CROSSING ROLLED EAST APPROXIMATELY 700 FEET IN,TO 3 MOW CARS SITTING AT EAST END OF TRACK 805, PUSHING ONE CAR,GREX3660 THROUGH THE DERAIL PROTECT,ING MAIN TRACK NUMBER 2 AND ONTO THE GROUND.  THE CORNER OF ONE PLATFORM KICKED SLIGHTLY NORTH AND I,NTO FOUL OF MAIN TRACK 2.  WEATHER WAS BLIZZARD SNOW STORM AND EXTREMELY HIGH WINDS WITH GUSTS OF OV,ER 40 MPH.,,,,,,,,,,,0,41.147.505,-102.935.061,2,5,,,,SIDNEY SUB,,,,,,,,,,
20,3,BNSF,HL0320117,,,,,20,3,BNSF,HL0320117,,,20,3,27,5,29,PM,01,0,0,0,0,,LINCOLN,02. Apr,31,54,3,1,4,E,YLIN,4,3923,7,Y,752,1,0,2,CBFX,471615,13,N,,,0,,2,0,0,0,0,0,0,0,0,0,12,0,69,0,0,2,0,3,0,0,170396,46599,H599,T102,0,0,0,0,H599,2,1,4,281931,,31C109,0,0,0,0,0,1,1,,,1,30,3,6,,1,,,,346,,2020,0,0,0,0,0,0,LANCASTER,109,,,,N,OTH,000-000-000,RCO Y-LIN2052-27 DERAILED 5 RAILCARS WHILE SHOVING YARD TRACK 752.  THE DERAILED RAILCARS IN TURN IM,PACTED RAILCARS ON RCO Y-LIN9232-27 STANDING IN ADJACENT TRACK.  NO HAZARDOUS MATERIALS WERE RELEASE,D. CAUSED BY RAPID THROTTLE MANIPULATION DUE TO RCL LOGIC ATTEMPTING TO ACHIEVE DESIRED SPEED SELECT,ED BY THE OPERATOR AND A TRACK WARP CONDITION.,,,,,,,,,,,,3,40.808.033,-96.739.127,2,5,K,,,CRESTON,,,,,,,,,,,,
20,3,BNSF,TC0320204,,,,,20,3,BNSF,TC0320204,,070265T,20,3,16,3,29,AM,07,100,0,0,0,,DAKOTA CITY,102.0,31,32,4,2,45,E,UFYN,2,11128,1,Y,SINGLE MAIN TRACK,4,34.63,1,BNSF,8117,1,,,,0,,2,0,0,0,1,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,10000,2000,M302,,0,0,0,0,M302,1,4,45,12000,,31C043,0,0,0,1,0,1,0,1,59,1,59,1,6,,1,,,,118,,2020,0,0,0,0,0,0,DAKOTA,43,,,,N,CWR,000-000-000,UFYNEAP0-05T REPORTED STRIKING TANK TRUCK AT CROSSING.  4000 GALLONS OF CHROMIUM SULFATE RELEASED FR,OM THE TANK TRUCK.,,,,,,,,,,,,,,0,42.422.163,-96.422.624,2,2,P,,,SIOUX CITY,,,,,,,,,,,,
