"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"19","01","ARR","2019015","","","","","19","01","ARR","2019015","","","19","01","15","3","14","AM","01","71","1","0","0","","CANTWELL","320","02","6","4","2","045","R","130N","1","6532","1","Y","MAIN TRACK","4","22,000","1","GATX","072470","037","Y","GATX","072470","037","Y","5","0","0","0","0","0","0","0","0","0","72","0","0","0","0","1","0","0","0","0","54000","1900000","E53C","E40C","0","0","0","0","E53C","1","4","045","1954000","","02C068","0","000000","0","1","0","1","0","08","30","08","30","1","8","","2","","","","460","","2019","0","0","0","0","0","0","DENALI","068","","","","N","CWR","000-000-000","AT APPROX. 0315 JANUARY 15, 130N KEY TRAIN EXPERIENCED UDE MP 317 TRAVELING 45 MPH. WHEN AIR DID NOT","COME BACK UP THE CONDUCTOR WALKED BACK TO INSPECT FOUND THE GATX 72470 (B END) SOUTH SET OF TRUCKS","WERE ON THE GROUND. TRAIN SEPARATED BETWEEN 36TH AND 37TH CAR. 37TH CAR BEING THE DERAILED GATX 7247","0. INITIAL INSPECTION REVEALED A HEAT DAMAGED R1 BEARING OF THE GATX 72470 ON THE GROUND AT APPROX.","MP 309.5. DAMAGE TO THE TRACK WAS NOTED FROM MP314-MP 314.6.","","","","","","","","","","","0","63.3913","-148.9515","2","2","J","M","P","MOUNTAIN SUBDIVISION",
"19","08","MNCW","2019126","","","","","19","08","MNCW","2019126","","","19","08","24","10","15","PM","12","0","0","0","0","","NEW HAVEN","72.0","09","75","4","1","005","E","6558","4","0","D","Y","TRACK 45","1","","2","MNCW","009138","002","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","18174","0","H999","","0","0","0","0","H999","2","1","005","18174","","09C009","0","000000","0","1","0","1","0","10","13","10","13","1","1","","6","","","","401","","2019","0","0","0","0","0","0","NEW HAVEN","009","00","00","","N","CWR","000-000-000","TRAIN 6558 WAS GIVEN PERMISSION TO TRACK 56 IN NEW HAVEN YARD AND TRAVELED WEST ON UNINTENDED TRACK","45 AND OPERATED PAST THE `END OF WIRE` SIGN ON TRACK 45, CAUSING 1 PANTOGRAPH TO FLIP AND BECOME DAM","AGED. AT TIME OF INCIDENT, CONDUCTOR WAS ON THE LEADING END OF THE MOVE. CONDUCTOR UNFAMILIAR WITH M","OVE IN THE YARD TO TRACK 56 AND DID NOT LINE THE SWITCH FOR EQUIPMENT TO TRAVEL ON TO INTENDED TRACK",".","","","","","","","","","","","0","41.294716","-72.926338","2","5","L","","","NEW HAVEN LINE",
"19","07","MNCW","201984","","","","","19","07","MNCW","201984","","","19","07","05","7","0","PM","13","0","0","0","0","","NEW HAVEN","73.0","09","70","3","1","001","E","9564","3","0","D","Y","TRACK 3 EAST","1","","2","MNCW","009564","003","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","18138","0","H999","H399","0","0","0","0","H999","2","1","001","18138","","09C009","0","000000","0","1","0","0","0","03","","","","1","1","","6","","","","445","","2019","0","0","0","0","0","0","NEW HAVEN","009","","","","N","CWR","000-000-000","AFTER THE SWITCHING CREW DROPPED EQUIPMENT ON TRACK 3E, MECHANICAL ELECTRICIAN REPOSITIONED EQUIPMEN","T ON MECHANICAL TRACK BY 2 FEET, AND WHEN DOING SO, THE PANTOGRAPH STRUCK NUB PIECE ON THE OVERHEAD","WIRE, CAUSING THE PANTOGRAPH TO FLIP AND BECOME DAMAGED. THE EQUIPMENT WAS SPOTTED BY SWITCHING CREW","THAT LEFT IT IN A LOCATION WHERE IT ALREADY PASSED THE NUB ON THE OVERHEAD WIRE, CAUSING MINOR ARCI","NG. REASON FOR ELECTRICIAN FOR REPOSITIONING.","","","","","","","","","","","0","41.297505","-72.92314","2","5","L","","","NEW HAVEN LINE",
"19","07","GRS","20190710W1","","","","","19","07","GRS","20190710W1","","","19","07","10","3","35","AM","01","0","0","0","0","","BRISTOL","MPY 11","09","65","4","1","009","E","PL1","3","950","1","Y","WATERBURY BRANCH","1","","1","FBTX","092005","002","Y","","","000","","3","0","0","0","0","0","0","0","0","0","7","0","0","0","0","6","0","0","0","0","13727","11688","M405","","0","0","0","0","M405","1","1","009","25415","","09C003","0","000000","0","1","","2","0","05","","05","15","1","1","","2","","","","132","","2019","0","0","0","0","0","0","HARTFORD","003","00","00","","N","OTH","000-000-000","WHILE TRAVELING EAST ON WATERBURY BRANCH TRAIN CREW FELT A TUG AND BROUGHT TRAIN TO A STOP - INSPECT","ED AND FOUND 6 CARS HAD DERAILED","","","","","","","","","","","","","","","41.671177","-72.937707","1","1","","","","WESTERN",
"19","03","UP","0319GL012","","","","","19","03","UP","0319GL012","","","19","03","05","1","55","AM","01","7","2","0","0","","MASON CITY","190.0","19","-6","4","1","006","E","MKCM","1","2697","1","Y","NEW SIDING","1","","3","CHSX","580848","003","N","","","000","","2","0","0","0","0","0","0","0","0","0","6","0","56","0","0","1","0","18","0","0","11134","1536","T220","","0","0","0","0","T220","3","1","006","12670","","19C033","0","000000","0","1","0","1","0","06","20","06","20","1","6","","1","","","","144","","2019","0","0","0","0","0","0","CERRO GORDO","033","00","00","","N","CWR","000-000-000","TRAIN MKCMC-03, LEAD LOCOMOTIVE UP4747, WAS PULLING INTO THE NEW SIDING.  THE RAIL BROKE UNDER THE L","OCOMOTIVES, DERAILING THE FOLLOWING 19 CARS.","","","","","","","","","","","","","","0","43.120872","-93.231184","2","5","","","","MASON CITY SUB",
"19","03","CSX","000181844","","","","","19","03","CSX","000181844","","","19","03","15","3","20","PM","01","0","0","0","0","","BALTIMORE","0094.0","24","40","2","1","004","E","Q438","3","11724","1","Y","SINGLE MAIN TRACK","2","0038.1","1","DJTX","315123","017","N","","","000","N","3","0","1","0","0","0","0","0","0","0","72","0","90","0","0","0","0","9","0","0","260808","1000","H514","H523","0","0","0","0","H514","1","2","004","261808","","24C510","0","000000","0","1","0","1","0","02","50","02","50","1","2","","1","","","","534","","2019","0","0","0","0","0","0","BALTIMORE CITY","510","00","00","","N","CWR","000-000-000","Q43814 OUTBOUND CREW WAS INSTRUCTED TO ASSIST THE INBOUND Q43814 CREW ACCOUNT THE TRAIN STALLED HEAD","ING EAST TO BAYVIEW YARD. THE OUTBOUND CREW DEPARTED BAYVIEW YARD WITH TWO LOCOMITVES TO ADD TO THE","HEADEND TO ASSIST IN BRINGING THE TRAIN TO BAYVIEW. THE CREW COUPLED TO THE STANDING TRAIN AND CUT T","HE AIR IN AND BEGAN TO PULL ON THE TRAIN. AFTER SEVERAL MINUTES OF PULLING ON THE TRAIN IT WENT INTO","EMERGENCY. THE CONDUCTOR WALKED THE TRAIN AND DISCOVERED THAT CARS WERE DERAILED AND NOTIFIED THE T","RAIN DISPATCHER OF THERE FINDINGS.","","","","","","","","","","0","39.313011","-76.621768","1","1","Z","","","BALTIMORE TERMINAL",
"19","01","CSX","000181006","","","","","19","01","CSX","000181006","","","19","01","27","9","0","AM","04","0","0","0","0","","CURTIS BAY","0008.0","24","39","2","1","000","E","","4","0","6","N","CP9","1","0000.0","2","CSXT","397902","001","N","","","000","N","0","0","0","0","0","0","0","0","0","0","108","0","0","0","0","0","0","0","0","0","812","0","H307","","0","0","0","0","H307","2","1","002","14267","","24C003","0","000000","0","0","0","0","0","","","","","1","2","","1","","","","589","","2019","0","0","0","0","0","0","ANNE ARUNDEL","003","00","00","","N","OTH","000-000-000","N81024 LEFT THEIR EQUIPMENT IN FOUL BY 201 ON CP 9 AT CURTIS BAY. COAL PIER CREW SHOVED CP 8 110 CAR","S WEST TO ALLOW N81024 TO GET THEIR LOCOMOTIVES IN THE CLEAR ON THE EAST END OF THE COAL COMING OFF","CP 9 . AS THE COAL PIER CREW SHOVED WEST PROTECTING THE SHOVE, THEY ATTEMPTED TO STOP 10 CARS SHORT","OF THE CLEARANCE POINT ON THE WEST END OF CP 8. WHEN THE OPERATOR LOCO # 5  BEGAN  PUSHING  THE STOP","BUTTON  COAL PIER PUSHER LOCO # 5S REMOTE THE SLACK RAN OUT AND DRAGGED THEM BACK ESTIMATED 635 FEE","T RESULTING IN EQUIPMENT STRIKE THE EQUIPMENT LEFT IN THE FOUL BY INBOUND CREW ON N81024.","","","","","","","","","","0","39.233062","-76.58872","2","5","","","","BALTIMORE TERMINAL",
"19","01","CSX","000181006","","","","","19","01","CSX","000181006","","","19","01","27","9","0","AM","04","0","0","0","0","","CURTIS BAY","0008.0","24","39","2","1","002","E","N810","4","0","7","Y","CP 9","1","0000.0","2","UP","048998","107","Y","CSXT","397902","110","Y","3","0","0","0","0","0","0","0","0","0","109","0","0","0","0","0","0","0","0","0","13455","0","H307","","0","0","0","0","H307","2","1","002","14267","","24C003","0","000000","0","1","0","0","0","02","","","","3","2","","1","","","","589","","2019","0","0","0","0","0","0","ANNE ARUNDEL","003","00","00","","N","OTH","000-000-000","N81024 LEFT THEIR EQUIPMENT IN FOUL BY 201 ON CP 9 AT CURTIS BAY. COAL PIER CREW SHOVED CP 8 110 CAR","S WEST TO ALLOW N81024 TO GET THEIR LOCOMOTIVES IN THE CLEAR ON THE EAST END OF THE COAL COMING OFF","CP 9 . AS THE COAL PIER CREW SHOVED WEST PROTECTING THE SHOVE, THEY ATTEMPTED TO STOP 10 CARS SHORT","OF THE CLEARANCE POINT ON THE WEST END OF CP 8. WHEN THE OPERATOR LOCO # 5  BEGAN  PUSHING  THE STOP","BUTTON  COAL PIER PUSHER LOCO # 5S REMOTE THE SLACK RAN OUT AND DRAGGED THEM BACK ESTIMATED 635 FEE","T RESULTING IN EQUIPMENT STRIKE THE EQUIPMENT LEFT IN THE FOUL BY INBOUND CREW ON N81024.","","","","","","","","","","1","39.233062","-76.58872","2","5","","","","BALTIMORE TERMINAL",
"19","07","UP","0719GP026","","","","","19","07","UP","0719GP026","","","19","07","23","3","30","AM","12","15","0","0","0","","NORTH PLATTE","286.0","31","58","4","1","000","R","MNPA","3","10517","1","Y","YARD 305","1","","2","NKLX","300007","104","N","","","000","","3","0","1","0","0","0","0","0","0","0","53","0","126","0","0","0","0","2","0","0","14063","0","H602","","0","0","0","0","H602","2","1","007","14577","","31C111","0","000000","0","1","0","1","0","03","","03","","3","6","","1","","","","208","","2019","0","0","0","0","0","0","LINCOLN","111","00","00","","N","OTH","000-000-000","THE HELPER ON THE YNP44R-22 WAS TRIMMING THE MNPAH DOWN EAST DEPARTURES 5 TRACK. THE HELPER FAILED T","O STOP HIS TRAIN IN THE CLEAR AND COLLIDED WITH THE MNPAL-22 THAT WAS DOUBLED UP ON THE DEPARTURE YA","RD LEAD.","","","","","","","","","","","","","0","41.143751","-100.795476","2","5","","","","NORTH PLATTE TERMINA",
"19","07","UP","0719GP034","","","","","19","07","UP","0719GP034","","","19","07","28","3","15","PM","01","0","0","0","0","","MITCHELL","158.25","31","89","2","1","008","R","CNAC","3","20878","1","Y","YARD 206","2","","2","CMO","503956","120","Y","CMO","503956","120","Y","2","0","0","0","1","0","0","0","0","0","146","0","0","0","0","1","0","0","0","0","14269","979","E85C","","0","0","0","0","E85C","2","2","008","15248","","31C157","0","000000","0","1","0","1","0","01","45","01","45","1","6","","1","","","","204","","2019","0","0","0","0","0","0","SCOTTS BLUFF","157","","","","N","CWR","000-000-000","CNACO-28 DOORS CAME OPEN ON RAILCAR CMO503956, DUMPING THE LOAD OF COAL. CMO503956 CLIMBED THE COAL","AND DERAILED. CAR WAS DRAGGED EAST AND AT THE #13 SWITCH THE TRAIN WENT INTO EMERGENCY. 2 CARS DERAI","LED.","","","","","","","","","","","","","0","41.929566","-103.853594","1","5","L","","","SOUTH MORRILL SUB",
