ACCAUSE;ACCAUSE_LVL1;ACCAUSE_LVL2
T001;Roadbed;Track, Roadbed and Structures
T002;Roadbed;Track, Roadbed and Structures
T099;Roadbed;Track, Roadbed and Structures
T101;Track Geometry;Track, Roadbed and Structures
T102;Track Geometry;Track, Roadbed and Structures
T103;Track Geometry;Track, Roadbed and Structures
T104;Track Geometry;Track, Roadbed and Structures
T105;Track Geometry;Track, Roadbed and Structures
T106;Track Geometry;Track, Roadbed and Structures
T107;Track Geometry;Track, Roadbed and Structures
T108;Track Geometry;Track, Roadbed and Structures
T109;Track Geometry;Track, Roadbed and Structures
T110;Track Geometry;Track, Roadbed and Structures
T111;Track Geometry;Track, Roadbed and Structures
T112;Track Geometry;Track, Roadbed and Structures
T113;Track Geometry;Track, Roadbed and Structures
T199;Track Geometry;Track, Roadbed and Structures
T201;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T202;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T203;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T204;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T205;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T206;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T207;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T208;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T210;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T211;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T212;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T213;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T214;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T215;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T216;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T217;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T218;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T219;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T220;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T221;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T222;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T223;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T224;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T299;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures
T301;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T302;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T303;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T304;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T305;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T306;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T307;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T308;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T309;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T310;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T311;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T312;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T313;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T314;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T315;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T316;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T317;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T318;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T319;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T399;Frogs, Switches and Track Appliances;Track, Roadbed and Structures
T401;Other Way and Structure;Track, Roadbed and Structures
T402;Other Way and Structure;Track, Roadbed and Structures
T403;Other Way and Structure;Track, Roadbed and Structures
T404;Other Way and Structure;Track, Roadbed and Structures
T499;Other Way and Structure;Track, Roadbed and Structures
S001;SIGNAL AND COMMUNICATION;Signal and Communication
S002;SIGNAL AND COMMUNICATION;Signal and Communication
S003;SIGNAL AND COMMUNICATION;Signal and Communication
S004;SIGNAL AND COMMUNICATION;Signal and Communication
S005;SIGNAL AND COMMUNICATION;Signal and Communication
S006;SIGNAL AND COMMUNICATION;Signal and Communication
S007;SIGNAL AND COMMUNICATION;Signal and Communication
S008;SIGNAL AND COMMUNICATION;Signal and Communication
S009;SIGNAL AND COMMUNICATION;Signal and Communication
S010;SIGNAL AND COMMUNICATION;Signal and Communication
S011;SIGNAL AND COMMUNICATION;Signal and Communication
S012;SIGNAL AND COMMUNICATION;Signal and Communication
S013;SIGNAL AND COMMUNICATION;Signal and Communication
S014;SIGNAL AND COMMUNICATION;Signal and Communication
S015;SIGNAL AND COMMUNICATION;Signal and Communication
S016;SIGNAL AND COMMUNICATION;Signal and Communication
S099;other software/programming deficiencies, etc.);Signal and Communication
S101;other software/programming deficiencies, etc.);Signal and Communication
S102;other software/programming deficiencies, etc.);Signal and Communication
S103;other software/programming deficiencies, etc.);Signal and Communication
S104;other software/programming deficiencies, etc.);Signal and Communication
E00C;Brakes;Mechanical and Electrical Failures
E00L;Brakes;Mechanical and Electrical Failures
E01C;Brakes;Mechanical and Electrical Failures
E01L;Brakes;Mechanical and Electrical Failures
E02C;Brakes;Mechanical and Electrical Failures
E02L;Brakes;Mechanical and Electrical Failures
E03C;Brakes;Mechanical and Electrical Failures
E03L;Brakes;Mechanical and Electrical Failures
E04C;Brakes;Mechanical and Electrical Failures
E04L;Brakes;Mechanical and Electrical Failures
E05C;Brakes;Mechanical and Electrical Failures
E05L;Brakes;Mechanical and Electrical Failures
E06C;Brakes;Mechanical and Electrical Failures
E06L;Brakes;Mechanical and Electrical Failures
E07C;Brakes;Mechanical and Electrical Failures
E07L;Brakes;Mechanical and Electrical Failures
E08C;Brakes;Mechanical and Electrical Failures
E08L;Brakes;Mechanical and Electrical Failures
E0HC;Brakes;Mechanical and Electrical Failures
E0HL;Brakes;Mechanical and Electrical Failures
E09C;Brakes;Mechanical and Electrical Failures
E09L;Brakes;Mechanical and Electrical Failures
E10L;Brakes;Mechanical and Electrical Failures
