Date;USD
2020-05-19;1.095
2020-05-18;1.0832
2020-05-17;1.0815
2020-05-16;1.08065
2020-05-15;1.0798
2020-05-14;1.0792
2020-05-13;1.0875
2020-05-12;1.0858
2020-05-11;1.0824
2020-05-10;1.08335
2020-05-09;1.083825
2020-05-08;1.0843
2020-05-07;1.0783
2020-05-06;1.0807
2020-05-05;1.0843
2020-05-04;1.0942
2020-05-03;1.0909
2020-05-02;1.08925
2020-05-01;1.088425
2020-04-30;1.0876
2020-04-29;1.0842
2020-04-28;1.0877
2020-04-27;1.0852
2020-04-26;1.0826
2020-04-25;1.0813
2020-04-24;1.08
2020-04-23;1.0772
2020-04-22;1.0867
2020-04-21;1.0837
2020-04-20;1.086
2020-04-19;1.086
2020-04-18;1.086
2020-04-17;1.086
2020-04-16;1.0888
2020-04-15;1.0903
2020-04-14;1.0963
2020-04-13;1.0915
2020-04-12;1.0891
2020-04-11;1.0879
2020-04-10;1.0873
2020-04-09;1.0867
2020-04-08;1.0871
2020-04-07;1.0885
2020-04-06;1.0791
2020-04-05;1.0788
2020-04-04;1.07865
2020-04-03;1.0785
2020-04-02;1.0906
2020-04-01;1.0936
2020-03-31;1.0956
2020-03-30;1.1034
2020-03-29;1.10055
2020-03-28;1.099125
2020-03-27;1.0977
2020-03-26;1.0981
2020-03-25;1.0827
2020-03-24;1.0843
2020-03-23;1.0783
2020-03-22;1.0745
2020-03-21;1.0726
2020-03-20;1.0707
2020-03-19;1.0801
2020-03-18;1.0934
2020-03-17;1.0982
2020-03-16;1.1157
2020-03-15;1.11305
2020-03-14;1.111725
2020-03-13;1.1104
2020-03-12;1.124
2020-03-11;1.1336
2020-03-10;1.139
2020-03-09;1.1456
2020-03-08;1.1396
2020-03-07;1.1366
2020-03-06;1.1336
2020-03-05;1.1187
2020-03-04;1.1125
2020-03-03;1.1117
2020-03-02;1.1122
2020-03-01;1.10495
2020-02-29;1.101325
2020-02-28;1.0977
2020-02-27;1.0964
2020-02-26;1.0875
2020-02-25;1.084
2020-02-24;1.0818
2020-02-23;1.08095
2020-02-22;1.080525
2020-02-21;1.0801
2020-02-20;1.079
2020-02-19;1.08
2020-02-18;1.0816
2020-02-17;1.0835
2020-02-16;1.08385
2020-02-15;1.084025
2020-02-14;1.0842
2020-02-13;1.0867
2020-02-12;1.0914
2020-02-11;1.0901
2020-02-10;1.0951
2020-02-09;1.096
2020-02-08;1.09645
2020-02-07;1.0969
2020-02-06;1.1003
2020-02-05;1.1023
2020-02-04;1.1048
2020-02-03;1.1066
2020-02-02;1.1059
2020-02-01;1.10555
2020-01-31;1.1052
2020-01-30;1.1029
2020-01-29;1.1001
2020-01-28;1.1005
2020-01-27;1.1025
2020-01-26;1.103
2020-01-25;1.10325
2020-01-24;1.1035
2020-01-23;1.1091
2020-01-22;1.1088
2020-01-21;1.1115
2020-01-20;1.1085
2020-01-19;1.10965
2020-01-18;1.110225
2020-01-17;1.1108
2020-01-16;1.1169
2020-01-15;1.1142
2020-01-14;1.1115
2020-01-13;1.1126
2020-01-12;1.11085
2020-01-11;1.109975
2020-01-10;1.1091
2020-01-09;1.111
2020-01-08;1.1115
2020-01-07;1.1172
2020-01-06;1.1194
2020-01-05;1.11705
2020-01-04;1.115875
2020-01-03;1.1147
2020-01-02;1.1193
2020-01-01;1.12135
2019-12-31;1.1234
2019-12-30;1.1189
2019-12-29;1.1171
2019-12-28;1.1162
2019-12-27;1.1153
2019-12-26;1.11165
