index;INCDTNO;YEAR4;MONTH;DAY;ACCDMG;INFRASTRUCTURE_DMG;TRKDMG;EQPDMG;LOCOMOTIVES1;LOCOMOTIVES2;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;SPEED;LOADF1;LOADF2;EMPTYF1;EMPTYP1;LOADP1;EMPTYF2;TONS;TYPE;TYPEQ;TRKCLAS;TYPTRK;ACCAUSE;TEMP;TEMP_CLUSTER;VISIBLTY;WEATHER;STATE;Jahreszeit;ACCIDENT_TYPE;ACCCAUSE_LVL1;ACCCAUSE_LVL2;EQUIPMENT_TYPE;ACCDMG_EUR;ACCTYPE;SPD_TOO_HIGH
0;000000031;2003;12;18;42790.0;42790.0;0.0;42790.0;2;0;0;0;0;0;0;0;9.926406551346263;0;0;0;0;0;0;69.7799471826711;04;8;3;Hauptstrecke;E08L;45;Moderat (0° bis 19,99° C);Tag;Klar;South Carolina;Herbst;Kollision;Brakes;Mechanical and Electrical Failures;Lokomotive, Lokomotive;34499.71781020721;Nicht Signifikant;False
1;000000370;2004;1;22;191147.0;191147.0;27000.0;164147.0;2;0;0;1;0;0;0;0;7.5;51;5;38;0;0;8;3040.0;04;7;1;Depot;H020;51;Moderat (0° bis 19,99° C);Abend;Klar;South Carolina;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;150391.0306845004;Signifikant;False
2;000001297;2004;2;26;122645.0;122645.0;23000.0;99645.0;4;2;0;0;0;0;0;0;3.9664186973567914;43;1;120;0;0;8;8914.833128900038;04;7;1;Depot;H017;40;Moderat (0° bis 19,99° C);Tag;Wolkig;Alabama;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen, Güterzug;98557.53776920604;Nicht Signifikant;False
3;000001388;2004;2;29;60500.0;60500.0;5000.0;55500.0;4;0;0;0;0;0;0;0;13.907829355595124;37;2;107;0;0;22;28839.0;03;1;1;Hauptstrecke;H606;60;Moderat (0° bis 19,99° C);Tag;Klar;Georgia;Winter;Kollision;Speed;Human Factors;Güterzug, Güterzug;48547.58465735837;Nicht Signifikant;True
4;000002086;2004;3;23;17645.0;17645.0;100.0;17545.0;2;0;0;0;0;0;0;0;5.0;44;2;0;0;0;0;4434.889973591336;04;1;1;Depot;H017;68;Warm (20° bis 31,99° C);Abend;Klar;Alabama;Frühling;Kollision;Brakes, Use of;Human Factors;Güterzug, Lokomotive;14373.574454219615;Nicht Signifikant;False
5;000002342;2004;2;1;8586.0;8586.0;0.0;8586.0;3;0;0;0;0;0;0;0;2.5;36;0;19;0;0;0;4346.928320993804;04;7;1;Depot;H401;30;Kalt (-30° - 0,01° C);Tag;Klar;Ohio;Winter;Kollision;Main Track Authority;Human Factors;Depot/Rangieren, Güterzug;6904.519380260547;Nicht Signifikant;False
6;000002386;2004;1;30;6986.0;6986.0;0.0;6986.0;2;0;0;0;0;0;0;0;1.9635609428485408;0;0;0;0;0;0;69.7799471826711;04;8;1;Depot;H312;12;Kalt (-30° - 0,01° C);Tag;Schnee;New York;Winter;Kollision;General Switching Rules;Human Factors;Lokomotive, Lokomotive;5641.149870801034;Nicht Signifikant;False
7;000002458;2004;4;11;22853.0;22853.0;1500.0;21353.0;2;0;0;1;0;0;0;0;5.0;34;0;13;0;0;3;4337.775817778529;04;7;1;Depot;H607;45;Moderat (0° bis 19,99° C);Abend;Klar;Pennsylvania;Frühling;Kollision;Speed;Human Factors;Depot/Rangieren, Depot/Rangieren;19007.102816175127;Signifikant;False
8;000003855;2004;6;6;34737.0;34737.0;0.0;34737.0;3;0;0;0;0;0;0;0;3.9542723449729715;63;0;0;0;0;0;7236.497692525955;04;6;5;Hauptstrecke;H302;76;Warm (20° bis 31,99° C);Tag;Klar;Ohio;Frühling;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Lokomotive;28286.691457886594;Nicht Signifikant;False
9;000004195;2004;5;29;23547.0;23547.0;0.0;23547.0;2;0;0;0;0;0;0;0;7.5;61;0;56;0;0;0;8821.13215573405;04;7;1;Depot;H018;80;Warm (20° bis 31,99° C);Tag;Klar;Florida;Frühling;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, Güterzug;19253.475061324614;Nicht Signifikant;False
